Model,Dataset,Features,Accuracy,Precision,Recall,F1 Score
KNN,BC15,basic,0.8402,0.8466,0.8402,0.8395
SVM,BC15,basic,0.8987,0.9039,0.8987,0.8984
Random Forest,BC15,basic,0.8526,0.8543,0.8526,0.8524
KNN,BC15,gist,0.6367,0.6368,0.6367,0.6367
SVM,BC15,gist,0.696,0.6963,0.696,0.6959
Random Forest,BC15,gist,0.7702,0.7707,0.7702,0.7701
KNN,BC15,glcm,0.6738,0.6766,0.6738,0.6726
SVM,BC15,glcm,0.7512,0.7512,0.7512,0.7512
Random Forest,BC15,glcm,0.7166,0.7167,0.7166,0.7166
KNN,BC15,lbp,0.5568,0.557,0.5568,0.5567
SVM,BC15,lbp,0.6178,0.6189,0.6178,0.617
Random Forest,BC15,lbp,0.6129,0.6133,0.6129,0.6125
KNN,Huongthom,basic,0.8898,0.8926,0.8898,0.8895
SVM,Huongthom,basic,0.935,0.9351,0.935,0.935
Random Forest,Huongthom,basic,0.9095,0.9096,0.9095,0.9095
KNN,Huongthom,gist,0.6336,0.6429,0.6336,0.6263
SVM,Huongthom,gist,0.7854,0.787,0.7854,0.785
Random Forest,Huongthom,gist,0.8088,0.8101,0.8088,0.8085
KNN,Huongthom,glcm,0.8204,0.828,0.8204,0.8192
SVM,Huongthom,glcm,0.8606,0.8666,0.8606,0.8599
Random Forest,Huongthom,glcm,0.835,0.8366,0.835,0.8348
KNN,Huongthom,lbp,0.5796,0.5797,0.5796,0.5788
SVM,Huongthom,lbp,0.673,0.6731,0.673,0.6728
Random Forest,Huongthom,lbp,0.638,0.6379,0.638,0.6379
KNN,Nep87,basic,0.9789,0.9789,0.9789,0.9789
SVM,Nep87,basic,0.9831,0.9832,0.9831,0.9831
Random Forest,Nep87,basic,0.981,0.9812,0.981,0.981
KNN,Nep87,gist,0.666,0.678,0.666,0.6622
SVM,Nep87,gist,0.8577,0.8581,0.8577,0.8578
Random Forest,Nep87,gist,0.9146,0.9155,0.9146,0.9145
KNN,Nep87,glcm,0.9136,0.914,0.9136,0.9135
SVM,Nep87,glcm,0.9305,0.931,0.9305,0.9304
Random Forest,Nep87,glcm,0.9125,0.9132,0.9125,0.9124
KNN,Nep87,lbp,0.706,0.7059,0.706,0.7058
SVM,Nep87,lbp,0.7661,0.7661,0.7661,0.7661
Random Forest,Nep87,lbp,0.7534,0.7539,0.7534,0.753
KNN,Q5,basic,0.9256,0.928,0.9256,0.9254
SVM,Q5,basic,0.9487,0.9496,0.9487,0.9487
Random Forest,Q5,basic,0.9447,0.9451,0.9447,0.9447
KNN,Q5,gist,0.5604,0.5604,0.5604,0.5603
SVM,Q5,gist,0.6881,0.6896,0.6881,0.6874
Random Forest,Q5,gist,0.7243,0.7275,0.7243,0.7233
KNN,Q5,glcm,0.6861,0.6899,0.6861,0.6844
SVM,Q5,glcm,0.7414,0.7437,0.7414,0.7408
Random Forest,Q5,glcm,0.7354,0.7357,0.7354,0.7353
KNN,Q5,lbp,0.5614,0.5614,0.5614,0.5613
SVM,Q5,lbp,0.6036,0.6037,0.6036,0.6035
Random Forest,Q5,lbp,0.5905,0.5906,0.5905,0.5905
KNN,Thienuu,basic,0.9517,0.9519,0.9517,0.9516
SVM,Thienuu,basic,0.9637,0.964,0.9637,0.9637
Random Forest,Thienuu,basic,0.9607,0.9609,0.9607,0.9607
KNN,Thienuu,gist,0.79,0.7982,0.79,0.789
SVM,Thienuu,gist,0.8943,0.8953,0.8943,0.8942
Random Forest,Thienuu,gist,0.9199,0.9212,0.9199,0.9198
KNN,Thienuu,glcm,0.8172,0.8172,0.8172,0.8172
SVM,Thienuu,glcm,0.8565,0.857,0.8565,0.8565
Random Forest,Thienuu,glcm,0.8459,0.8461,0.8459,0.8459
KNN,Thienuu,lbp,0.7674,0.7689,0.7674,0.7668
SVM,Thienuu,lbp,0.7946,0.7951,0.7946,0.7944
Random Forest,Thienuu,lbp,0.7855,0.786,0.7855,0.7853
KNN,Xi23,basic,0.9086,0.909,0.9086,0.9085
SVM,Xi23,basic,0.9408,0.9408,0.9408,0.9408
Random Forest,Xi23,basic,0.9298,0.9298,0.9298,0.9298
KNN,Xi23,gist,0.6213,0.6338,0.6213,0.5969
SVM,Xi23,gist,0.7193,0.7226,0.7193,0.7152
Random Forest,Xi23,gist,0.7361,0.7365,0.7361,0.7344
KNN,Xi23,glcm,0.7383,0.7402,0.7383,0.7357
SVM,Xi23,glcm,0.7727,0.7786,0.7727,0.7693
Random Forest,Xi23,glcm,0.758,0.7579,0.758,0.758
KNN,Xi23,lbp,0.6681,0.6676,0.6681,0.6653
SVM,Xi23,lbp,0.6886,0.6896,0.6886,0.6848
Random Forest,Xi23,lbp,0.6791,0.6783,0.6791,0.6782
